race,number
Anti-Black or African American,1761
Anti-Gay (Male),674
Anti-Jewish,668
Anti-White,614
Anti-Lesbian,343
Anti-Hispanic or Latino,301
Anti-Islamic (Muslim),260
Anti-Other Race/Ethnicity/Ancestry,258
Anti-American Indian or Alaska Native,131
Anti-Asian,115
"Anti-Multiple Races, Group     ",113
Anti-Other Religion,96
Anti-Transgender               ,73
Anti-Catholic      ,54
"Anti-Multiple Religions, Group",51
etc,359
