race,number
Anti-Black or African American        ,1994
Anti-Jewish                   ,854
Anti-White        ,786
Anti-Gay (Male)         ,745
Anti-Hispanic or Latino         ,497
Anti-Lesbian    ,439
Anti-Other Race/Ethnicity/Ancestry      ,269
Anti-Islamic (Muslim)      ,191
Anti-American Indian or Alaska Native    ,185
Anti-Asian   ,151
Anti-Transgender    ,143
"Anti-Multiple Races, Group         ",134
Anti-Mental Disability   ,99
Anti-Other Religion    ,94
Anti-Arab            ,83
Anti-Physical Disability        ,61
Anti-Catholic                   ,51
Anti-Other Christian                                  ,50
etc,345
