race,number
Anti-Black or African American             ,2099
Anti-Jewish           ,966
Anti-White       ,708
Anti-Gay (Male)             ,684
Anti-Hispanic or Latino    ,440
Anti-Lesbian       ,414
Anti-Other Race/Ethnicity/Ancestry      ,280
Anti-Islamic (Muslim)      ,279
Anti-American Indian or Alaska Native     ,243
"Anti-Multiple Races, Group   ",188
Anti-Asian            ,131
Anti-Transgender      ,109
Anti-Arab       ,106
Anti-Mental Disability   ,86
Anti-Other Religion      ,84
Anti-Catholic        ,72
Anti-Physical Disability     ,66
Anti-Female        ,55
"Anti-Multiple Religions, Group           ",50
etc,261
