race,number
Anti-Black or African American   ,3698
Anti-White            ,1186
Anti-Jewish                 ,892
Anti-Gay (Male)                     ,799
Anti-Hispanic or Latino     ,631
Anti-Lesbian       ,468
Anti-Other Race/Ethnicity/Ancestry      ,350
Anti-Asian  ,345
"Anti-Multiple Races, Group  ",255
Anti-Transgender  ,224
Anti-Sikh                 ,172
Anti-Islamic (Muslim)       ,133
Anti-American Indian or Alaska Native ,131
Anti-Mental Disability             ,105
Anti-Arab         ,105
Anti-Other Religion  ,98
Anti-Catholic         ,84
"Anti-Eastern Orthodox (Russian, Greek, Other)       ",79
Anti-Physical Disability                ,72
Anti-Gender Non-Conforming      ,71
Anti-Female       ,68
"Anti-Multiple Religions, Group           ",62
Anti-Other Christian    ,59
etc,212
